pair_id,coordinate,q1_lo_deg,q1_hi_deg,q2_lo_deg,q2_hi_deg,center_distance_mm,motion_bound_mm,guaranteed_clearance_mm,distance_method,subdivision_depth,status,required_clearance_mm,evidence_origin
BASE_UPPER:COLUMN:J1_H101,J1,-20.000000000,70.000000000,,,53.716331846,27.386560720,26.329771126,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:COLUMN:UPPER_PROX_ADAPTER,J1,-20.000000000,70.000000000,,,81.574483850,35.276659863,46.297823988,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:COLUMN:UPPER_MEMBER,J1,-20.000000000,25.000000000,,,101.638089554,55.768984562,45.869104992,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:COLUMN:UPPER_MEMBER,J1,25.000000000,70.000000000,,,74.333336535,55.768984562,18.564351973,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:COLUMN:P11_FIXED_CATCH,J1,-20.000000000,70.000000000,,,180.423093384,116.721234166,63.701859218,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:COLUMN:J2_X430,J1,-20.000000000,70.000000000,,,197.998385732,155.603593630,42.394792102,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:COLUMN:J2_FR12_S102,J1,-20.000000000,70.000000000,,,192.329503611,124.871348557,67.458155054,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:J1_H101,J1,-20.000000000,70.000000000,,,44.190010870,27.386560720,16.803450150,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:UPPER_PROX_ADAPTER,J1,-20.000000000,70.000000000,,,72.048162874,35.276659863,36.771503011,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:UPPER_MEMBER,J1,-20.000000000,25.000000000,,,92.111768577,55.768984562,36.342784016,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:UPPER_MEMBER,J1,25.000000000,70.000000000,,,64.807015559,55.768984562,9.038030997,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:P11_FIXED_CATCH,J1,-20.000000000,70.000000000,,,170.897210961,116.721234166,54.175976795,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:J2_X430,J1,-20.000000000,70.000000000,,,188.497060252,155.603593630,32.893466622,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:J2_FR12_S102,J1,-20.000000000,70.000000000,,,182.820033363,124.871348557,57.948684806,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,-20.000000000,2.500000000,,,14.829612349,9.035450787,5.794161562,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,2.500000000,25.000000000,,,12.573740125,9.035450787,3.538289338,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,25.000000000,47.500000000,,,12.189569378,9.035450787,3.154118591,EXACT_BREP_DISTANCE,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,47.500000000,70.000000000,,,11.584640383,9.035450787,2.549189596,EXACT_BREP_DISTANCE,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,-20.000000000,-8.750000000,,,21.504084825,14.026602364,7.477482460,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,-8.750000000,2.500000000,,,26.617473155,14.026602364,12.590870791,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,2.500000000,13.750000000,,,24.526023308,14.026602364,10.499420943,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,13.750000000,25.000000000,,,18.782856373,14.026602364,4.756254009,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,25.000000000,36.250000000,,,22.178952466,14.026602364,8.152350102,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,36.250000000,47.500000000,,,21.440971566,14.026602364,7.414369202,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,47.500000000,58.750000000,,,21.075057965,14.026602364,7.048455601,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,58.750000000,70.000000000,,,21.340833874,14.026602364,7.314231509,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:P11_FIXED_CATCH,J1,-20.000000000,70.000000000,,,122.829648568,116.721234166,6.108414401,EXACT_BREP_DISTANCE,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:J2_X430,J1,-20.000000000,25.000000000,,,141.861411276,79.326024125,62.535387150,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:J2_X430,J1,25.000000000,70.000000000,,,122.366751146,79.326024125,43.040727020,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:J2_FR12_S102,J1,-20.000000000,70.000000000,,,132.354648568,124.871348557,7.483300010,EXACT_BREP_DISTANCE,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:UPPER_PROX_ADAPTER,J1,-20.000000000,70.000000000,,,59.049032078,35.276659863,23.772372216,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:UPPER_MEMBER,J1,-20.000000000,25.000000000,,,79.112637782,55.768984562,23.343653220,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:UPPER_MEMBER,J1,25.000000000,70.000000000,,,60.449853204,55.768984562,4.680868642,EXACT_BREP_DISTANCE,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:P11_FIXED_CATCH,J1,-20.000000000,70.000000000,,,159.885652068,116.721234166,43.164417902,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:J2_X430,J1,-20.000000000,70.000000000,,,178.948446825,155.603593630,23.344853195,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:J2_FR12_S102,J1,-20.000000000,70.000000000,,,172.985971395,124.871348557,48.114622838,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J1_H101:J2_FR12_H101,J2,,,15.000000000,115.000000000,150.096915226,25.752982767,124.343932459,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_PROX_ADAPTER:J2_FR12_H101,J2,,,15.000000000,115.000000000,140.576548639,25.752982767,114.823565872,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_MEMBER:J2_FR12_H101,J2,,,15.000000000,115.000000000,40.577403388,25.752982767,14.824420622,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:P11_FIXED_CATCH:J2_FR12_H101,J2,,,15.000000000,115.000000000,31.051548639,25.752982767,5.298565872,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:COLUMN:J2_FR12_H101,J1+J2,-20.000000000,70.000000000,15.000000000,115.000000000,225.924627918,195.678489814,30.246138104,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:SHOULDER_SUPPORT:J2_FR12_H101,J1+J2,-20.000000000,70.000000000,15.000000000,115.000000000,216.543371710,195.678489814,20.864881896,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:J1_BODY:J2_FR12_H101,J1+J2,-20.000000000,25.000000000,15.000000000,115.000000000,168.044270348,112.380255037,55.664015312,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:J1_BODY:J2_FR12_H101,J1+J2,25.000000000,70.000000000,15.000000000,115.000000000,151.804018649,112.380255037,39.423763613,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:J1_S102:J2_FR12_H101,J1+J2,-20.000000000,70.000000000,15.000000000,115.000000000,209.473518341,195.678489814,13.795028527,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J1_H101:P11_LOWERED_STRIKER,J2,,,15.000000000,115.000000000,147.889316042,39.075073194,108.814242848,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J1_H101:FORE_MEMBER_LOWERED,J2,,,15.000000000,115.000000000,163.754234505,77.419354577,86.334879928,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J1_H101:FORE_DIST_H104_ADAPTER_LOWERED,J2,,,15.000000000,115.000000000,191.907154096,85.146278126,106.760875970,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J1_H101:G1_H104_LOWERED,J2,,,15.000000000,115.000000000,204.011944087,113.571211459,90.440732628,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
