net,connection_count,connections
K2_J12,2,05_actuator_interruption.kicad_sch:KP2:2T1 | 05_actuator_interruption.kicad_sch:KP2:3L2
K2_J23,2,05_actuator_interruption.kicad_sch:KP2:4T2 | 05_actuator_interruption.kicad_sch:KP2:5L3
K2_STATUS,2,04_contactor_edm.kicad_sch:K2:14 | 08_compute_and_control_terminals.kicad_sch:XT1:TBD-6
PI_HEARTBEAT,2,07_watchdog_control.kicad_sch:ISO1:TBD-IN | 08_compute_and_control_terminals.kicad_sch:PI1:TBD-GPIO-HB
PI_USB_U2D2,2,08_compute_and_control_terminals.kicad_sch:PI1:USB-U2D2 | 09_actuator_interfaces.kicad_sch:U1:USB
ROBOT_FRAME,1,09_actuator_interfaces.kicad_sch:JFRAME1:TBD-FRAME
SAFETY_0V,20,01_external_sources.kicad_sch:PSU2:P1J-S | 01_external_sources.kicad_sch:JC1:TBD-24- | 01_external_sources.kicad_sch:JC1:TBD-OUT- | 02_estop_eligibility.kicad_sch:SR1:A2 | 02_estop_eligibility.kicad_sch:H1:TBD-H- | 03_arm_watchdog_eligibility.kicad_sch:SRA1:A2 | 04_contactor_edm.kicad_sch:K1:A2 | 04_contactor_edm.kicad_sch:K2:A2 | 07_watchdog_control.kicad_sch:DC1:TBD-IN- | 07_watchdog_control.kicad_sch:DC1:TBD-OUT- | 07_watchdog_control.kicad_sch:ISO1:TBD-WG | 07_watchdog_control.kicad_sch:WDCTRL1:38 | 07_watchdog_control.kicad_sch:Q1:TBD-0V | 07_watchdog_control.kicad_sch:Q2:TBD-0V | 07_watchdog_control.kicad_sch:IFB1:TBD-IN- | 07_watchdog_control.kicad_sch:IFB1:TBD-GND | 07_watchdog_control.kicad_sch:IFB2:TBD-IN- | 07_watchdog_control.kicad_sch:IFB2:TBD-GND | 08_compute_and_control_terminals.kicad_sch:JDBG1:TBD-GND | 08_compute_and_control_terminals.kicad_sch:XT1:TBD-2
SAFETY_24V,15,01_external_sources.kicad_sch:JC1:TBD-OUT+ | 02_estop_eligibility.kicad_sch:SR1:A1 | 02_estop_eligibility.kicad_sch:SR1:41 | 03_arm_watchdog_eligibility.kicad_sch:SRA1:A1 | 03_arm_watchdog_eligibility.kicad_sch:SRA1:13 | 03_arm_watchdog_eligibility.kicad_sch:SRA1:23 | 03_arm_watchdog_eligibility.kicad_sch:SRA1:41 | 03_arm_watchdog_eligibility.kicad_sch:KWD1:A1 | 03_arm_watchdog_eligibility.kicad_sch:KWD1:21 | 03_arm_watchdog_eligibility.kicad_sch:KWD2:A1 | 03_arm_watchdog_eligibility.kicad_sch:KWD2:21 | 04_contactor_edm.kicad_sch:K1:13 | 04_contactor_edm.kicad_sch:K2:13 | 07_watchdog_control.kicad_sch:DC1:TBD-IN+ | 08_compute_and_control_terminals.kicad_sch:XT1:TBD-1
SAFETY_24V_RAW,2,01_external_sources.kicad_sch:PSU2:P1J-C | 01_external_sources.kicad_sch:JC1:TBD-24+
SITE_PE_CONTROL_SOURCE,1,01_external_sources.kicad_sch:PSU2:C14-PE
SR1_DIAG_NC,1,02_estop_eligibility.kicad_sch:SR1:42
SR1_S11,2,02_estop_eligibility.kicad_sch:S0:TBD-C1A | 02_estop_eligibility.kicad_sch:SR1:S11
SR1_S12,3,02_estop_eligibility.kicad_sch:SR1:S12 | 02_estop_eligibility.kicad_sch:S1:TBD-R1 | 03_arm_watchdog_eligibility.kicad_sch:KWD1:14
SR1_S21,2,02_estop_eligibility.kicad_sch:S0:TBD-C2A | 02_estop_eligibility.kicad_sch:SR1:S21
SR1_S22,2,02_estop_eligibility.kicad_sch:SR1:S22 | 03_arm_watchdog_eligibility.kicad_sch:KWD2:14
SR1_START_RETURN,2,02_estop_eligibility.kicad_sch:SR1:S34 | 02_estop_eligibility.kicad_sch:S1:TBD-R2
SR1_STATUS,3,02_estop_eligibility.kicad_sch:SR1:Y32 | 02_estop_eligibility.kicad_sch:H1:TBD-H+ | 08_compute_and_control_terminals.kicad_sch:XT1:TBD-3
SRA1_DIAG_NC,1,03_arm_watchdog_eligibility.kicad_sch:SRA1:42
SRA1_K1_RAW,2,03_arm_watchdog_eligibility.kicad_sch:SRA1:14 | 04_contactor_edm.kicad_sch:FSR1:1
SRA1_K2_RAW,2,03_arm_watchdog_eligibility.kicad_sch:SRA1:24 | 04_contactor_edm.kicad_sch:FSR2:1
SRA1_S11,2,02_estop_eligibility.kicad_sch:SR1:13 | 03_arm_watchdog_eligibility.kicad_sch:SRA1:S11
SRA1_S12,3,02_estop_eligibility.kicad_sch:SR1:14 | 03_arm_watchdog_eligibility.kicad_sch:SRA1:S12 | 03_arm_watchdog_eligibility.kicad_sch:S2:TBD-A1
SRA1_S21,2,02_estop_eligibility.kicad_sch:SR1:23 | 03_arm_watchdog_eligibility.kicad_sch:SRA1:S21
SRA1_S22,2,02_estop_eligibility.kicad_sch:SR1:24 | 03_arm_watchdog_eligibility.kicad_sch:SRA1:S22
SRA1_START_RETURN,2,03_arm_watchdog_eligibility.kicad_sch:SRA1:S34 | 04_contactor_edm.kicad_sch:K2:22
