net,connection_count,connections
RS-LARM_RET,6,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_LARM:LOG-REF | 07_left_arm_rs485.kicad_sch:PORT_RS_LARM:LOG-RET | 07_left_arm_rs485.kicad_sch:PBR_RS_LARM:LOG-RET-OUT | 07_left_arm_rs485.kicad_sch:AX_L_SHOULDER_PITCH:LOG-RET | 07_left_arm_rs485.kicad_sch:AX_L_SHOULDER_ROLL:LOG-RET | 07_left_arm_rs485.kicad_sch:AX_L_ELBOW_PITCH:LOG-RET
RS-LARM_VDD,4,07_left_arm_rs485.kicad_sch:PBR_RS_LARM:LOG-OUT | 07_left_arm_rs485.kicad_sch:AX_L_SHOULDER_PITCH:LOG-PWR | 07_left_arm_rs485.kicad_sch:AX_L_SHOULDER_ROLL:LOG-PWR | 07_left_arm_rs485.kicad_sch:AX_L_ELBOW_PITCH:LOG-PWR
RS-LLEG_DN,8,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_LLEG:LOG-DN | 05_left_leg_rs485.kicad_sch:PORT_RS_LLEG:LOG-DN | 05_left_leg_rs485.kicad_sch:AX_L_HIP_YAW:LOG-DN | 05_left_leg_rs485.kicad_sch:AX_L_HIP_ROLL:LOG-DN | 05_left_leg_rs485.kicad_sch:AX_L_HIP_PITCH:LOG-DN | 05_left_leg_rs485.kicad_sch:AX_L_KNEE_PITCH:LOG-DN | 05_left_leg_rs485.kicad_sch:AX_L_ANKLE_PITCH:LOG-DN | 05_left_leg_rs485.kicad_sch:AX_L_ANKLE_ROLL:LOG-DN
RS-LLEG_DP,8,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_LLEG:LOG-DP | 05_left_leg_rs485.kicad_sch:PORT_RS_LLEG:LOG-DP | 05_left_leg_rs485.kicad_sch:AX_L_HIP_YAW:LOG-DP | 05_left_leg_rs485.kicad_sch:AX_L_HIP_ROLL:LOG-DP | 05_left_leg_rs485.kicad_sch:AX_L_HIP_PITCH:LOG-DP | 05_left_leg_rs485.kicad_sch:AX_L_KNEE_PITCH:LOG-DP | 05_left_leg_rs485.kicad_sch:AX_L_ANKLE_PITCH:LOG-DP | 05_left_leg_rs485.kicad_sch:AX_L_ANKLE_ROLL:LOG-DP
RS-LLEG_RET,9,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_LLEG:LOG-REF | 05_left_leg_rs485.kicad_sch:PORT_RS_LLEG:LOG-RET | 05_left_leg_rs485.kicad_sch:PBR_RS_LLEG:LOG-RET-OUT | 05_left_leg_rs485.kicad_sch:AX_L_HIP_YAW:LOG-RET | 05_left_leg_rs485.kicad_sch:AX_L_HIP_ROLL:LOG-RET | 05_left_leg_rs485.kicad_sch:AX_L_HIP_PITCH:LOG-RET | 05_left_leg_rs485.kicad_sch:AX_L_KNEE_PITCH:LOG-RET | 05_left_leg_rs485.kicad_sch:AX_L_ANKLE_PITCH:LOG-RET | 05_left_leg_rs485.kicad_sch:AX_L_ANKLE_ROLL:LOG-RET
RS-LLEG_VDD,7,05_left_leg_rs485.kicad_sch:PBR_RS_LLEG:LOG-OUT | 05_left_leg_rs485.kicad_sch:AX_L_HIP_YAW:LOG-PWR | 05_left_leg_rs485.kicad_sch:AX_L_HIP_ROLL:LOG-PWR | 05_left_leg_rs485.kicad_sch:AX_L_HIP_PITCH:LOG-PWR | 05_left_leg_rs485.kicad_sch:AX_L_KNEE_PITCH:LOG-PWR | 05_left_leg_rs485.kicad_sch:AX_L_ANKLE_PITCH:LOG-PWR | 05_left_leg_rs485.kicad_sch:AX_L_ANKLE_ROLL:LOG-PWR
RS-RARM_DN,5,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_RARM:LOG-DN | 08_right_arm_rs485.kicad_sch:PORT_RS_RARM:LOG-DN | 08_right_arm_rs485.kicad_sch:AX_R_SHOULDER_PITCH:LOG-DN | 08_right_arm_rs485.kicad_sch:AX_R_SHOULDER_ROLL:LOG-DN | 08_right_arm_rs485.kicad_sch:AX_R_ELBOW_PITCH:LOG-DN
RS-RARM_DP,5,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_RARM:LOG-DP | 08_right_arm_rs485.kicad_sch:PORT_RS_RARM:LOG-DP | 08_right_arm_rs485.kicad_sch:AX_R_SHOULDER_PITCH:LOG-DP | 08_right_arm_rs485.kicad_sch:AX_R_SHOULDER_ROLL:LOG-DP | 08_right_arm_rs485.kicad_sch:AX_R_ELBOW_PITCH:LOG-DP
RS-RARM_RET,6,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_RARM:LOG-REF | 08_right_arm_rs485.kicad_sch:PORT_RS_RARM:LOG-RET | 08_right_arm_rs485.kicad_sch:PBR_RS_RARM:LOG-RET-OUT | 08_right_arm_rs485.kicad_sch:AX_R_SHOULDER_PITCH:LOG-RET | 08_right_arm_rs485.kicad_sch:AX_R_SHOULDER_ROLL:LOG-RET | 08_right_arm_rs485.kicad_sch:AX_R_ELBOW_PITCH:LOG-RET
RS-RARM_VDD,4,08_right_arm_rs485.kicad_sch:PBR_RS_RARM:LOG-OUT | 08_right_arm_rs485.kicad_sch:AX_R_SHOULDER_PITCH:LOG-PWR | 08_right_arm_rs485.kicad_sch:AX_R_SHOULDER_ROLL:LOG-PWR | 08_right_arm_rs485.kicad_sch:AX_R_ELBOW_PITCH:LOG-PWR
